Block 4421202
cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,pion-1-cosmosvalcons,pion-1-address
cosmosvaloper1wdf3pjaxghn0csuau367mukl02l6per7czx2j0,cosmos1wdf3pjaxghn0csuau367mukl02l6per7akjl7u,DragonStake.io,DREWHgTWBZnU02c57w+IJOss2cwlcrZmchKxoSQ99Tw=,76BEEF9817D4010EC52233E005C0ED86BD4179DE,cosmosvalcons1w6lwlxqh6sqsa3fzx0sqts8ds675z7w726ckp8,BOND_STATUS_BONDED,cosmosvalcons1w6lwlxqh6sqsa3fzx0sqts8ds675z7w726ckp8,76BEEF9817D4010EC52233E005C0ED86BD4179DE
cosmosvaloper1wdsueqhfe740mnc7q03pgrr4r3j6yvwzs5jphw,cosmos1wdsueqhfe740mnc7q03pgrr4r3j6yvwz4qx5ma,is-rome-test,ZYqOfnqxHDbxFaHlnAJuySXmD99CXXpfv9YRAGDL8H8=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1w3mu723wf4sf2pmn8y847gd32ncp42sp9z8f9n,cosmos1w3mu723wf4sf2pmn8y847gd32ncp42spqknufq,High Stakes 🇨🇭,uVwKGrgg7emGGVnV6k7iPH2TROgrRxir6n2u11CXXCE=,2237488A57EDC597681BB631E8D171E88CD06DB4,cosmosvalcons1ygm53zjhahzew6qmkcc735t3azxdqmd5dp9ga3,BOND_STATUS_BONDED,cosmosvalcons1wzp2z6scml298n6m5u658fc9ygyrv2eknal82z,7082A16A18DFD453CF5BA73543A7052208362B36
cosmosvaloper1wn8s4pk34c2zfs30kk8ue5nt9jqj6exn5wl2c7,cosmos1wn8s4pk34c2zfs30kk8ue5nt9jqj6exn36tl5d,Validator has shut down,pss1JOG0uaY+6HNJD8N78Dqp4tT/jVVvGubR2v4CHwk=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1w5rrmn5n7lzknmam2hy7n83k757qceplylwvvg,cosmos1w5rrmn5n7lzknmam2hy7n83k757qceplpt6eqm,Stakecito,mDHizmBbE+xSreKbRPtdCBUwReFNBkgvQAl+6QeDVfk=,F87BED25738FEFF37FB315A0DCAD83AB93E3C7A5,cosmosvalcons1lpa76ftn3lhlxlanzksdetvr4wf783a9922ve6,BOND_STATUS_BONDED,cosmosvalcons1ekmct6mraknga5weq8yff5y9xhjkfmtzk4akrq,CDB785EB63EDA68ED1D901C894D08535E564ED62
cosmosvaloper1wu35xsu0jl0l00jk8cqqvfmtqsw7ev2cauwq2c,cosmos1wu35xsu0jl0l00jk8cqqvfmtqsw7ev2ccg64xt,pepper 🫑,Saz125cwL3+06TXte3KGQSbCIIESEaeglLNzYLuA3qM=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1wu45zdqt8rt20up63xp7apxf0drhz88v6h29sn,cosmos1wu45zdqt8rt20up63xp7apxf0drhz88vlr7suq,Notional,qWuaZYOOBdfqGFE07n67dt1bBFpGzJZiYQZtOJkTwnw=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1wlefeez2ptwa86m94v2ayjqmvsy9xw27hsn368,cosmos1wlefeez2ptwa86m94v2ayjqmvsy9xw27jy8yk5,Commons Hub Validator rs-testnet,aPebu5ij0JhR0bn0ws87k0+0q4lFtoP3cCGfCtP9yFw=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper10pa03yf798dx5dy8zfhek28zsrjlyeyglmj38u,cosmos10pa03yf798dx5dy8zfhek28zsrjlyeyg60xyt0,denise,J1+K4Jv6Z6dxoboD0TXJLyn3obwjeQO/wgGHvBreinA=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper10paav5qvqvxn2ycqlrfj2ncpl5c43h74gw60ex,cosmos10paav5qvqvxn2ycqlrfj2ncpl5c43h74d6w644,Dolfun 🐬,N4RVWzRTvy8WaSy+e/RTdUI2gUmU0QSe2P/gwbZGBKI=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper10feldk72g4fsffku44asumf4lqsr6g5y822rzk,cosmos10feldk72g4fsffku44asumf4lqsr6g5yz77kw9,ECO Stake 🌱,YBaukC86rQS6d5TXIanVvoOwJcmbmDI8h4j44Pd/oI0=,363F3E20193448003616AA3592D991A90BE287E0,cosmosvalcons1xclnugqex3yqqdsk4g6e9kv34y979plq457d9u,BOND_STATUS_BONDED,cosmosvalcons1xclnugqex3yqqdsk4g6e9kv34y979plq457d9u,363F3E20193448003616AA3592D991A90BE287E0
cosmosvaloper102w6jk6jpakck3xknt7g9pr0wr2plhv5phpmm3,cosmos102w6jk6jpakck3xknt7g9pr0wr2plhv5yr4whz,NODEJUMPER,X9x54wImJ1GUnBr7nqc9NYj8GrQYMT8YTkxGsPC1a4w=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper10jt73m3mlkmsqsys7jl7aktzj9nsdrgxxvy4j5,cosmos10jt73m3mlkmsqsys7jl7aktzj9nsdrgxrcsq78,Colossus,FlcZ1L5kvTi6h8xXzlL+I2MBNmvCu7fxvtgPK4NOFEs=,,,BOND_STATUS_UNBONDING,,
cosmosvaloper10hr5509a7we9zz64lprwl8ya3hagv2nsx2ptl7,cosmos10hr5509a7we9zz64lprwl8ya3hagv2nsr747nd,pie 🥧,u58Elj3mx6DW528ZRAOSbbB+0Kq6fxx8+y5hcCFW2jE=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1s5fkmr2h2n5d8mnf03f4qu64ye6cl26dz5cn9r,cosmos1s5fkmr2h2n5d8mnf03f4qu64ye6cl26d8qvxfs,Lex_Prime,b2TQEhHRsijeRmvsvxRBu+vUHaXvu091KX6/fsNQeB0=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1s4tly7zg9de0rkxcsgcg6aq2zh4m5v25p5thrh,cosmos1s4tly7zg9de0rkxcsgcg6aq2zh4m5v25yqlz0y,donut 🍩️,oE14iLol7jwzS+Gg6c5cg6S07SSUGrTLE0IGbYltV+s=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1seeqduzecug95qwc7nauztwnx55z9xx3qy5x3a,cosmos1seeqduzecug95qwc7nauztwnx55z9xx39sqnaw,GATA DAO,Wwg/SQY8sxYxtR7mClkjVWzND7NAcYYzMNA/EZn4wSU=,256FB561A5F47EA75C8F0BF59760B057E1DCDB33,cosmosvalcons1y4hm2cd973l2why0p06ewc9s2lsaeken49u7m9,BOND_STATUS_BONDED,cosmosvalcons1y4hm2cd973l2why0p06ewc9s2lsaeken49u7m9,256FB561A5F47EA75C8F0BF59760B057E1DCDB33
cosmosvaloper1s685wh6f53e29zd3e77yw0z4spd2zrvfx5dv3a,cosmos1s685wh6f53e29zd3e77yw0z4spd2zrvfrqeeaw,Batman2504,n7zgRmGkb+0AEp+zuWtju5xehdl8wMxNBBFz22ZoxNk=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1sax3axe0qmq4he0m69detecx2afcxq35hhdet4,cosmos1sax3axe0qmq4he0m69detecx2afcxq35jrev8x,Stakeflow,8JJCXu6eK71OMeS5hp1R18B94PTUCLpwBSi/C+24YdI=,48BF48F8637E71DB80A94E12CC54E369DAB78122,cosmosvalcons1fzl537rr0ecahq9ffcfvc48rd8dt0qfzm48dzv,BOND_STATUS_BONDED,cosmosvalcons1hx8uptyepg4tnnyzw2f98zkmhmp4fja70av3t3,B98FC0AC990A2AB9CC827292538ADBBEC354CBBE
cosmosvaloper138lswp859dv8265cdzy7p7zccdaz2m90s6m094,cosmos138lswp859dv8265cdzy7p7zccdaz2m904w06fx,TienThuatToan Capital,1CVArS1W5fn2b7yLdzoIHyglnAij1dP0Wwn2kATL7YY=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper13nf09y826qerzaq2lt72a9w9rvfcdjv2tvdvu5,cosmos13nf09y826qerzaq2lt72a9w9rvfcdjv2wcees8,superjax,7tkSR6+lFdZ5pomfpFgY65F5WnWOchC8QleVLSib9AA=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper13nly5lzedhrtvlgq6htrzd769gxsxgct9jmfng,cosmos13nly5lzedhrtvlgq6htrzd769gxsxgctqx0ulm,Lemon 🍋,qQ4rnKdDDu2MhxK/lWKmP7H/k3FnFti8l6bn9nUyaFQ=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper13k0lfenv7y2h6wgdw0qf7ttasf9xhqw4p9fzzv,cosmos13k0lfenv7y2h6wgdw0qf7ttasf9xhqw4y3ahwl,Imperator.co,M39sW5aeRTlEpy4tXXuktCK9Ke/50KBe5eboN9IHwtY=,2D6D56766DC4D04CE825FC0A0484FB46F047272D,cosmosvalcons194k4vandcngye6p9ls9qfp8mgmcywfed5an94c,BOND_STATUS_BONDED,cosmosvalcons194k4vandcngye6p9ls9qfp8mgmcywfed5an94c,2D6D56766DC4D04CE825FC0A0484FB46F047272D
cosmosvaloper13mxxve9hd8qw8efu3zkjvqhgfzztkduq0567jk,cosmos13mxxve9hd8qw8efu3zkjvqhgfzztkduq2qwt79,S16 Research Ventures,b5mSKXLJkrYX56gz9B/fLhxb1bVmcpgPvJLGe/cbXRM=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1jretfxev7kjy0d4hsvt6r8ksclu8xfnr5c4z08,cosmos1jretfxev7kjy0d4hsvt6r8ksclu8xfnr3vphr5,Test Valoper Please Ignore,N6jNmHdCyw8Ld8vhXybppNHReiPTNhLlHmapmF6EUXk=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1jt9w26mpxxjsk63mvd4m2ynj0af09cslx42n9z,cosmos1jt9w26mpxxjsk63mvd4m2ynj0af09cslrp7xf3,polkachu.com,kS4CaF6ek03+VGkxmGGY/efXT3Y1L0WtKxrvHMJMk80=,688FDD2880D33479D5226A280402A71B6C1A4DCA,cosmosvalcons1dz8a62yq6v68n4fzdg5qgq48rdkp5nw2v7vdjm,BOND_STATUS_BONDED,cosmosvalcons1dz8a62yq6v68n4fzdg5qgq48rdkp5nw2v7vdjm,688FDD2880D33479D5226A280402A71B6C1A4DCA
cosmosvaloper1j5astlv52d5hvepxlfq474e5e7m97esq8h7alg,cosmos1j5astlv52d5hvepxlfq474e5e7m97esqzr2gnm,Tessellated,4dtq4rZa9/wQXrdX1Qv30SkfWWkiUlam93ZYHGnveEU=,04546E7FD1B6B86DA832D8F356AEFB70857E6427,cosmosvalcons1q32xul73k6uxm2pjmre4dthmwzzhuep8up8nzu,BOND_STATUS_BONDED,cosmosvalcons1q32xul73k6uxm2pjmre4dthmwzzhuep8up8nzu,04546E7FD1B6B86DA832D8F356AEFB70857E6427
cosmosvaloper1jefjdzcjn8ht0fjaymgnp4us2tcrux78r3s7sd,cosmos1jefjdzcjn8ht0fjaymgnp4us2tcrux78x9ytu7,black,N3cPYYd4vahmk+8B5vfR9J7DGuqRd7euWDXB8VkguvE=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1jm8sleg5gv5upvslxd7mjsc9q5t90mvx3r9g9s,cosmos1jm8sleg5gv5upvslxd7mjsc9q5t90mvx5h3afr,Virtual Hive,yzbnoQv2v/+lgyHFs90mvuQP58xP0lDlFbhPgcmQWds=,A98E7F85928D4768D1092F6F66EBEFB9C46E43FC,cosmosvalcons14x88lpvj34rk35gf9ahkd6l0h8zxusluh2rrry,BOND_STATUS_BONDED,cosmosvalcons14x88lpvj34rk35gf9ahkd6l0h8zxusluh2rrry,A98E7F85928D4768D1092F6F66EBEFB9C46E43FC
cosmosvaloper1jl85yd70rx9pq0pk3520nehhvnmaf5n8x3uc73,cosmos1jl85yd70rx9pq0pk3520nehhvnmaf5n8r9gdjz,Blockdaemon,Z8ftJeEUMt1ueEiqw8tnbRP7MMkYpliKG+owmHHN02U=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1n95uzl436zc4d3jp00dhl063ldrtqzl3l38gvg,cosmos1n95uzl436zc4d3jp00dhl063ldrtqzl369naqm,popcorn 🍿,UMyxZpgGAN0ok1/0fCPSgKD8tI6E+mojvHLj1dPmGD8=,,,BOND_STATUS_UNBONDING,,
cosmosvaloper1n8m5lrlraah6e5scrdd63srfhv5xzmgau72et4,cosmos1n8m5lrlraah6e5scrdd63srfhv5xzmgae27v8x,dForce,iRfZsPMxIM3votG1wKm5HhOG0lx4MSORW/2XBl8MVbc=,9297418B25C85F1363F9863F2B87B71017AC5F69,cosmosvalcons1j2t5rze9ep03xclescljhpahzqt6chmffp0cnx,BOND_STATUS_BONDED,cosmosvalcons1j2t5rze9ep03xclescljhpahzqt6chmffp0cnx,9297418B25C85F1363F9863F2B87B71017AC5F69
cosmosvaloper1nsaekmwlz73snkmyxz96whnewu4a9zvkj2a6l6,cosmos1nsaekmwlz73snkmyxz96whnewu4a9zvkh7f0nf,Staking Fund,mQJStdlArJpfzMt6ItOyJ6m2MznWbuMSe+j6tsfj9hs=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1nur8afu88xuvfckxvnfu7x4xcjjlstu8zvlzl7,cosmos1nur8afu88xuvfckxvnfu7x4xcjjlstu88cthnd,Chill Validation,3zs0Ub3UfDjmryKGeA5tN1NUCY4KI1ok7NSkwIAWI8Q=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper159tyeqgp7zrtfmjetg0u8mtxsm705mj6ejr5qf,cosmos159tyeqgp7zrtfmjetg0u8mtxsm705mj6uxhpv6,🐠stake.fish-ics,jN6WqAc3ghIAuZQFkQNPSqYCz0h/N7hH5EsFea31UT4=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper15x2ml0qepktnd6egk4l0rtl0z8fpfxktq52qy4,cosmos15x2ml0qepktnd6egk4l0rtl0z8fpfxkt9q74gx,Provalidator,LRLvTTVNWIrjZ5xefoewMpoVnVkU8ilVi9ubhbtcUk4=,0218833A02146EE957096AF9A007E6253232473D,cosmosvalcons1qgvgxwszz3hwj4cfdtu6qplxy5ery3ea98vrcq,BOND_STATUS_BONDED,cosmosvalcons1qn7kxfsjfthu3578ummacmzxuazpyac8e3vupj,04FD6326124AEFC8D3C7E6F7DC6C46E744127707
cosmosvaloper152pp9xcs4qruu3kc0memwcm9cl7e4flw6yl8ws,cosmos152pp9xcs4qruu3kc0memwcm9cl7e4flwlstjzr,Citadel.one,2C4p/SeZLhaDlW1lNwp7ZCzQ36uWdLS0VevM/K5+2H8=,34E7B16662759976797EAED2F9BD80F54ED6543D,cosmosvalcons1xnnmzenzwkvhv7t74mf0n0vq748dv4pa2kryep,BOND_STATUS_BONDED,cosmosvalcons1xnnmzenzwkvhv7t74mf0n0vq748dv4pa2kryep,34E7B16662759976797EAED2F9BD80F54ED6543D
cosmosvaloper15tu9srh3kwsjx0pf48u59kh8tujfpgh66842fe,cosmos15tu9srh3kwsjx0pf48u59kh8tujfpgh6lnpl92,FreshSTAKING,xF4yaS3jz4Qw5g0wSci+IamKmNndAsgnJZF6yMaWRF4=,54D6FD9615488EED037E81DB151B3DFD4FA51113,cosmosvalcons12nt0m9s4fz8w6qm7s8d32xeal4862ygnwu0hr7,BOND_STATUS_BONDED,cosmosvalcons12nt0m9s4fz8w6qm7s8d32xeal4862ygnwu0hr7,54D6FD9615488EED037E81DB151B3DFD4FA51113
cosmosvaloper14qekdkj2nmmwea4ufg9n002a3pud23y8qk57ar,cosmos14qekdkj2nmmwea4ufg9n002a3pud23y89zqt3s, Lavender.Five Nodes 🐝,s2ssopV2TLMTTd0Ae4KeB1P7/jrdeYIocSmPsocXHnc=,EFA02D08986D733BDFAF3660563EDC8765359487,cosmosvalcons1a7sz6zycd4enhha0xes9v0kusajnt9y8yl09vp,BOND_STATUS_BONDED,cosmosvalcons1zeyr3ydnscq5q2kkxtjrg0krhv5fe9gsdt6zva,16483891B38601402AD632E4343EC3BB289C9510
cosmosvaloper14tnyp78cc6kuwz4yrph7h2eauhwlzfzcyk042w,cosmos14tnyp78cc6kuwz4yrph7h2eauhwlzfzcpzmqxa,swu,ORKgq4drQgNAoV4pKN33/RKrSo97VneUQdSuzuOZwpg=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper14d5n3pvj07unwpt56aa00449pput03ecsmsa5x,cosmos14d5n3pvj07unwpt56aa00449pput03ec40ygc4,Witval,IxQjbhyeV9JaSLVle6haelWP+rmxXeq/TfPENMw1TiU=,1FB8BCBFFA737D662F24290EC6273BC6E12F14C2,cosmosvalcons1r7ute0l6wd7kvtey9y8vvfemcmsj79xzaann4f,BOND_STATUS_BONDED,cosmosvalcons1yeghytqug3ccsw4s0nd5k4fe7h25ymrs0j6p4n,2651722C1C4471883AB07CDB4B5539F5D5426C70
cosmosvaloper14anx54ddg0yagk6k4dallx33hhe7gk2xl9nqwx,cosmos14anx54ddg0yagk6k4dallx33hhe7gk2x6384z4,ITRocket,BNGaa0YNXALOUH/mgM5nvZohdjohkeB+vVDS8KXvFnU=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1krj9ujpsfrhgwqc3azqjf3yjllgxk6kssptah4,cosmos1krj9ujpsfrhgwqc3azqjf3yjllgxk6ks44lgmx,🐡grant.fish-ics,KTFabU4Q5TxOK3l1DXdE1hWQqcrlXS3aZmMVxKMYfIE=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1kg6vepn673ja73zgt5e5dy9tjsyrwnlgsl95rl,cosmos1kg6vepn673ja73zgt5e5dy9tjsyrwnlg4t3p0v,Tessellated,0BdfO8HksQmS/0uxkkpN9R/kNDuqEcpvPbXt5FxKcoM=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1kd3lrk8r0g3lu9muu0zxchnfxn2nu853ttsvzh,cosmos1kd3lrk8r0g3lu9muu0zxchnfxn2nu853wlyewy,kar-Testnet,c2+BNONpsGgRTWdKN2ctU9TrEqXH2xXmZqFhPg0+swg=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1kjpak5z65fev4g2pktkh40e3gwrlc6c0k02ekv,cosmos1kjpak5z65fev4g2pktkh40e3gwrlc6c0nm7v6l,blockscape,zUD04Ga6ry1iOHZvMUqdXPYSnnUi+wTUv1Tw5Yfez1g=,C4B6AD6E6E6FFAABD2A92354283508C17C37FD9E,cosmosvalcons1cjm26mnwdla2h54fyd2zsdggc97r0lv7atpvmc,BOND_STATUS_BONDED,cosmosvalcons1cjm26mnwdla2h54fyd2zsdggc97r0lv7atpvmc,C4B6AD6E6E6FFAABD2A92354283508C17C37FD9E
cosmosvaloper1kek8tvpq5u0ypzzm7m82yqm99d4fhyz7cp99qk,cosmos1kek8tvpq5u0ypzzm7m82yqm99d4fhyz7a43sv9,cosmosq,j2aYpET1ud9jRCBYQBWC9Aussjn7DFLHVPnRB6MAj9I=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1k6k63fxyxdz4lvwnver2r2t5wtdsrw9avtz3jr,cosmos1k6k63fxyxdz4lvwnver2r2t5wtdsrw9aflky7s,#decentralizehk - DHK dao,komHSGMVa+Sf5VN8IH5M2HfulNVD6FeSiXp2nqTjLKc=,E31525794390766041AAF5EE13AAC1BBFEDBE338,cosmosvalcons1uv2j272rjpmxqsd27hhp82kph0ldhcecn7uwa4,BOND_STATUS_BONDED,cosmosvalcons1uv2j272rjpmxqsd27hhp82kph0ldhcecn7uwa4,E31525794390766041AAF5EE13AAC1BBFEDBE338
cosmosvaloper1h24pw8q7m6n4dcqfucfuxu8qh0rwn7zrfkg88t,cosmos1h24pw8q7m6n4dcqfucfuxu8qh0rwn7zrvzujtc,farukyasar,op1hmYVxTlgPNGncbEZgmP6BFWnMPXUEPug4ykeK4r8=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1hdnp2r03cmxemq5qjyn6gnzq423uxzvmn8pzfc,cosmos1hdnp2r03cmxemq5qjyn6gnzq423uxzvmkn4h9t,Oni ⛩️,RmlVhTb6FGkbqXiDI+8oLQ/Qerwqo7CmXLFHgBwL8s0=,55777DB9AFC5C615D8E8248F863BA4B1AD91E2F1,cosmosvalcons124mhmwd0chrptk8gyj8cvwaykxkerch3g0cmr4,BOND_STATUS_BONDED,cosmosvalcons1xynxzt75j2u7743pc86fd040qrvz4gfpn6krej,3126612FD492B9EF5621C1F496BEAF00D82AA121
cosmosvaloper1hw37qwsmx86umnurjw6gvqpl0n2esqnzse7c49,cosmos1hw37qwsmx86umnurjw6gvqpl0n2esqnz4d2dek,Ztake.org,bWrAk+lQXsCsJetqCoz+rYudttUyRkiaU7wz1gV1vR0=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1hspwflagmhdgn60ack6zz4msqhfsuc09ujqcw2,cosmos1hspwflagmhdgn60ack6zz4msqhfsuc09ex5dze,P2P.ORG Validator,KQofNMS6N1JWLvxujlQuHZcsxZEqIeoWbP9Gd8HxMZw=,87F3466CB50D18F4C915A55707D9E6AD750BD7EA,cosmosvalcons1sle5vm94p5v0fjg454ts0k0x446sh4l2gz9cy9,BOND_STATUS_BONDED,cosmosvalcons1xgl72p0rcwqhkcmsrrwmnhpdw24ztdft5yktm4,323FE505E3C3817B637018DDB9DC2D72AA25B52B
cosmosvaloper1czlc099cl4560ze8ygvpjj6mlyx2rxeulnwu33,cosmos1czlc099cl4560ze8ygvpjj6mlyx2rxeu686faz,Alessandro Mazza,7XAuOZNLCs8307dU4WPtyihIG9VXqyANxbebD9KGOXY=,1250C221C284289696619AB505D0B13166557887,cosmosvalcons1zfgvygwzss5fd9npn26st593x9n927y8trf36e,BOND_STATUS_BONDED,cosmosvalcons1zfgvygwzss5fd9npn26st593x9n927y8trf36e,1250C221C284289696619AB505D0B13166557887
cosmosvaloper1cyvq47rfgyagc63k3uqdx4tngsf8tmwtmx3ruy,cosmos1cyvq47rfgyagc63k3uqdx4tngsf8tmwt7j9ksh,Forbole,2hl2MUsU1LNcIdxhWOz5mTziNja9i/tZ7aoGyCrcMMo=,FC4C9F4171DFF0BCBF9CFF437BFCA39BC0973C06,cosmosvalcons1l3xf7st3mlcte0uulaphhl9rn0qfw0qxuqehtw,BOND_STATUS_BONDED,cosmosvalcons1esl7rsedw3tmf23ajrltyqrrshwcr8cz0xtmvs,CC3FE1C32D7457B4AA3D90FEB2006385DD819F02
cosmosvaloper1cymmn6xh0nns7uwlwwl2jtemn3haa7w56pz8pm,cosmos1cymmn6xh0nns7uwlwwl2jtemn3haa7w5l4kjdg,strangelove,31TXpBm8cVfCIRzhkmP6qCGEu7GXvL+KVW4KODI4PDI=,996D914BD7781280788F56EEAD71B18A57276D18,cosmosvalcons1n9kezj7h0qfgq7y02mh26ud33ftjwmgczm2ska,BOND_STATUS_BONDED,cosmosvalcons1a6nuz2yytm95wsplqk4ysrun3zpym4dq992q2g,EEA7C128845ECB47403F05AA480F9388824DD5A0
cosmosvaloper1cfw0ydh2q86rtw44qupns88wsx8k9jsnnwmtes,cosmos1cfw0ydh2q86rtw44qupns88wsx8k9jsnk6074r,nostromo,eZJfhW/46Z6JSm3fh7LzSuk+hFPLkHqx0aMJ6DLq7TE=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1cvsp2apd89chzyg89ycf7qht2lpvkpqsvcuahh,cosmos1cvsp2apd89chzyg89ycf7qht2lpvkpqsfvggmy,grapes 🍇,gZVf+MF0De7y+DGjXjywMgzYPFoiDAXX6DJ3w44mNyQ=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1c0tdphgx8zkj87p4s7wc9pn7wcwa26rt0p2pzt,cosmos1c0tdphgx8zkj87p4s7wc9pn7wcwa26rt2475wc,🐹 Quokka Stake,kAcWkk0gbwgCe8H/zxKRSKfMSee0mVvfiyvsFqMnDFo=,27561095915B7A5BB7C21FC69A99D46A0C91B986,cosmosvalcons1yatpp9v3tda9hd7zrlrf4xw5dgxfrwvxst9ulr,BOND_STATUS_BONDED,cosmosvalcons17dqmecehmdv4dd5mqvzyper05rzyzxgu0zkaug,F341BCE337DB5956B69B030440E46FA0C441191C
cosmosvaloper1cje04m5dxx6nu7prmsn5htaye6wxpm7g4pjwkp,cosmos1cje04m5dxx6nu7prmsn5htaye6wxpm7gs4xm6j,RockawayX,oMNTaPQRD3mxYzARLw4wVTsbTEkNj/NFsnAgR24WMPY=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1ceu748d0t96jykhhsxjdr6e949nyw0tp74ma2r,cosmos1ceu748d0t96jykhhsxjdr6e949nyw0tpmp0gxs,Figment,CWFaDH/P9GGiC6/JNniCtd7zZHbbZ27I5wl6mQKvv6s=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1cmt7fy823lt5nnv0456wrc5rtgxrfgn22ttj7h,cosmos1cmt7fy823lt5nnv0456wrc5rtgxrfgn20ll8jy,Multiplex,JPKkefh7VSCpcxnvAi8KxuLgIV3us96AW7lPqAgVDi4=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1etx55kw7tkmnjqz0k0mups4ewxlr324tspp6j4,cosmos1etx55kw7tkmnjqz0k0mups4ewxlr324t44407x,NodeStake,uu1FpuT2YeSfPGdoRcthkech+BVnW2YwKSb2R5PpMeo=,5030B258A762E27C34194F407402C645111C86D0,cosmosvalcons12qctyk98vt38cdqefaq8gqkxg5g3epksfh6wnt,BOND_STATUS_BONDED,cosmosvalcons1kd0shyyucrhm70z4ss23cc6xtgrmp5ca340g2k,B35F0B909CC0EFBF3C5584151C63465A07B0D31D
cosmosvaloper1e5yfpc8l6g4808fclmlyd38tjgxuwshnmjkrq6,cosmos1e5yfpc8l6g4808fclmlyd38tjgxuwshn7xzkvf,cherry 🍒,gZz1HeNNMv6nHDzjg8eeTz22diyRhgAih1MuktpDYLI=,56E8B6ABC373885A3468B522E28537F98004701B,cosmosvalcons12m5td27rwwy95drgk53w9pfhlxqqguqmlfph2g,BOND_STATUS_BONDED,cosmosvalcons12hu27j7hd2ekx7c3vd8vcl8uj5mvszsprq9t6q,55F8AF4BD76AB3637B11634ECC7CFC9536C80A01
cosmosvaloper1e52537uh92yw44vv25h73m6wvu9m5ms0fs2ez8,cosmos1e52537uh92yw44vv25h73m6wvu9m5ms0vy7vw5,Commercio.network,3cHpR8OPUXA6WoLu4tNIURTDuhlMZMzd71YzOzdL3Vc=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1e4sfsvkarnst29zrm392x62mz576qxezjzkcjz,cosmos1e4sfsvkarnst29zrm392x62mz576qxezhkzd73,Cosmos Spaces,kS3QmKFGB7J7dXp8cvLNKoSVipncGY80/3isQlEfik8=,8D46660E68A1092EDFE359E57383EF894DE6CA75,cosmosvalcons134rxvrng5yyjahlrt8jh8ql039x7djn4xx53cc,BOND_STATUS_BONDED,cosmosvalcons134rxvrng5yyjahlrt8jh8ql039x7djn4xx53cc,8D46660E68A1092EDFE359E57383EF894DE6CA75
cosmosvaloper1ekuc2vh23hus5nkn975yq27022xggdgakawtf2,cosmos1ekuc2vh23hus5nkn975yq27022xggdganf679e,Oni ⛩️,nKzkyAAOfIudsoSfhcQmY2vXC2ZgDvitt1LoXcSry54=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1ehscatk0d2ncmuddezaghtfxcp4ltkyauz8ept,cosmos1ehscatk0d2ncmuddezaghtfxcp4ltkyaeknvdc,Everstake,Y62W9aZMjxnmfJlCAEEktadBUJ4o3yPzfqdp8jVD/Qc=,5D3AF2D306E2195A626EDA303B84CD62372C029E,cosmosvalcons1t5a095cxugv45cnwmgcrhpxdvgmjcq57dtkl6j,BOND_STATUS_BONDED,cosmosvalcons1uls7cp7relgtsp9pg8r5443yk5ml3rqjywxtcp,E7E1EC07C3CFD0B804A141C74AD624B537F88C12
cosmosvaloper1683ftalhc9w5zs0mfhghne8ykj2rsc4tvqjp8x,cosmos1683ftalhc9w5zs0mfhghne8ykj2rsc4tf5x5t4,BitValidator,v2tStvQMI6+lpFm6dcoBEZGluVRBvsI4debSGskxBl8=,,,BOND_STATUS_UNBONDED,,
