Block 4421202
cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,pion-1-cosmosvalcons,pion-1-address
cosmosvaloper1y0r8ywkyk6nw03fu4cakcuz2zr5ztxrcwfvf2s,cosmos1y0r8ywkyk6nw03fu4cakcuz2zr5ztxrctacuxr,WeStaking,x1979LZmeSdseM0S0H9y9Kf9brvq3uNLEL+mRJ1TT20=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1ycxf4df52ydkn3423h65c9ljt93hjn587s9z8x,cosmos1ycxf4df52ydkn3423h65c9ljt93hjn58my3ht4,S16 Research Ventures,6vVCsldweBmJvK7mCeluAFq9bZZb2yG54nci4LOQLzE=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1yl8t2nle6nsrxyvy6tx4yhyerezcucmxcpzswx,cosmos1yl8t2nle6nsrxyvy6tx4yhyerezcucmxa4k9z4,WhisperNode 🤐,2RyHNvJ62kISNvd0cXhGcJQ4DCuA0TZkSoLGoAhQzSI=,AD38D301C37C49A477EFDEBA6E363E5DC4747F8C,cosmosvalcons145udxqwr03y6gal0m6axud37thz8gluvu70ecx,BOND_STATUS_BONDED,cosmosvalcons1kakg6svsned5mtvhfk3vlhu0yn3cd0ukyu3rms,B76C8D41909E5B4DAD974DA2CFDF8F24E386BF96
cosmosvaloper194z8v2gls28enc6hqsh5l8nvt3gtmxnm3znc6z,cosmos194z8v2gls28enc6hqsh5l8nvt3gtmxnm5k8dk3,uprovider,1C0qusoK3mO3gGsdM1EmpRI19SGW78edr7yT91JIVFQ=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1xtclm74k5hudvujyul70lyeuak30tl9hxcwz7f,cosmos1xtclm74k5hudvujyul70lyeuak30tl9hrv6hj6,BlockHunters 🎯,S6N8Q1n204UwyPR16TYpOm4jbgg+9cDWiYrs3HvnBa0=,90E878E72849980A48B2516658B9F37097A8BB13,cosmosvalcons1jr583eegfxvq5j9j29n93w0nwzt63wcn80zhjg,BOND_STATUS_BONDED,cosmosvalcons1jr583eegfxvq5j9j29n93w0nwzt63wcn80zhjg,90E878E72849980A48B2516658B9F37097A8BB13
cosmosvaloper1xvw7z6rk86mwf8ehfuu8qhdunfs9l8eauespgm,cosmos1xvw7z6rk86mwf8ehfuu8qhdunfs9l8eaedy5yg,proposer,aoVm6OAHoG//HY9/P4x6dqgGTP/NVq/AJwmLaCdYJpk=,,,BOND_STATUS_UNBONDING,,
cosmosvaloper1x5wgh6vwye60wv3dtshs9dmqggwfx2ldk5cvqu,cosmos1x5wgh6vwye60wv3dtshs9dmqggwfx2ldnqvev0,Cosmostation,LKwKvQPVTwxwW4UDpyIvGW8Sa9sUdaxhhhVdOigrEyA=,01458B61F0D7DE6E90798FE8C370413D718EB34C,cosmosvalcons1q9zckc0s6l0xayre3l5vxuzp84ccav6vt5qy8s,BOND_STATUS_BONDED,cosmosvalcons1q9zckc0s6l0xayre3l5vxuzp84ccav6vt5qy8s,01458B61F0D7DE6E90798FE8C370413D718EB34C
cosmosvaloper18zqheq54mahrnjul4tykumuhsj5pms7v7cr944,cosmos18zqheq54mahrnjul4tykumuhsj5pms7vmvhsex,KalpaTech,iTif8WGSm1keuRCyPMVMK0ueXXzRRXNSm3nllLZImig=,67FFCD2A4A82FE8C9D321ADE7D3A8ADC857F0B02,cosmosvalcons1vllu62j2stlge8fjrt086w52mjzh7zczldmw7e,BOND_STATUS_BONDED,cosmosvalcons1vllu62j2stlge8fjrt086w52mjzh7zczldmw7e,67FFCD2A4A82FE8C9D321ADE7D3A8ADC857F0B02
cosmosvaloper18trtetwlrwyaw79dk288wxg9dk47hwe7lmlrdh,cosmos18trtetwlrwyaw79dk288wxg9dk47hwe760tkpy,ChainLayer,HBBpviJS+EpRiisMQRQagNflsFwJa1zC7ElfzMgrymk=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper18d60wcs2l3mdk5zz7rc9w4qmnpv3f6mj5uxgen,cosmos18d60wcs2l3mdk5zz7rc9w4qmnpv3f6mj3gja4q,01node,eguEFMFLTf31h29PoiMhBTn9fZZafEJx/t6AA9KmYSU=,9911F956558216B7257C7C362F6F7A09C8BC9718,cosmosvalcons1nyglj4j4sgttwftu0smz7mm6p8yte9ccqppmgy,BOND_STATUS_BONDED,cosmosvalcons1nyglj4j4sgttwftu0smz7mm6p8yte9ccqppmgy,9911F956558216B7257C7C362F6F7A09C8BC9718
cosmosvaloper18jnendz2jdsjuncep5ps03vdy8hktqu6g7drr5,cosmos18jnendz2jdsjuncep5ps03vdy8hktqu6d2ek08,salt 🧂,eWSjr9r1rmAHrFD5SslyNO9KDElFTaVtlgsIqTfa4Sc=,,,BOND_STATUS_UNBONDED,,
